Codigo,Nombre_base,CodigoEstado_base,CodigoProveedorConsultado,FechaConsulta,Nombre_detalle,CodigoEstado_detalle,Estado,CodigoLicitacion,Descripcion,CodigoTipo,Tipo,TipoMoneda,CodigoEstadoProveedor,EstadoProveedor,TieneItems,PromedioCalificacion,CantidadEvaluacion,Descuentos,Cargos,TotalNeto,PorcentajeIva,Impuestos,Total,Financiamiento,Pais,TipoDespacho,FormaPago,Fechas.FechaCreacion,Fechas.FechaEnvio,Fechas.FechaAceptacion,Fechas.FechaCancelacion,Fechas.FechaUltimaModificacion,Comprador.CodigoOrganismo,Comprador.NombreOrganismo,Comprador.RutUnidad,Comprador.CodigoUnidad,Comprador.NombreUnidad,Comprador.Actividad,Comprador.DireccionUnidad,Comprador.ComunaUnidad,Comprador.RegionUnidad,Comprador.Pais,Comprador.NombreContacto,Comprador.CargoContacto,Comprador.FonoContacto,Comprador.MailContacto,Proveedor.Codigo,Proveedor.Nombre,Proveedor.Actividad,Proveedor.CodigoSucursal,Proveedor.NombreSucursal,Proveedor.RutSucursal,Proveedor.Direccion,Proveedor.Comuna,Proveedor.Region,Proveedor.Pais,Proveedor.NombreContacto,Proveedor.CargoContacto,Proveedor.FonoContacto,Proveedor.MailContacto,Items.Cantidad,Items.Listado,CategoriaProducto,FechaProcesamiento,Tipo_base,Estado_base,CodigoOrganismoPublico_base,NombreOrganismoPublico_base,FechaCreacion,FechaCierre,Tipo_detalle,Estado_detalle,NombreProductoGenerico,EspecificacionComprador,EspecificacionProveedor,CodigoOrganismoPublico_detalle,NombreOrganismoPublico_detalle,Monto,CodigoOrganismoPublico,NombreOrganismoPublico
2085-172-CM26,recarga alimentacion,12,27693,27022026,recarga alimentacion,12,Recepción Conforme,,"Orden de Compra codigo: 2085-172-CM26 dirigida a EDENRED CHILE SOCIEDAD ANONIMA
Recarga alimentación Priloko Didaico.
Referente: SDA Maria Angel Jara Atenza",9,CM,CLP,7,Recepción Conforme,1,4.767676767676767,99,54000.0,0.0,1080000.0,19.0,194940.0,1220940.0,,CL,12,2,2026-02-23T08:57:08.687,2026-02-23T09:22:24.343,2026-02-23T11:44:06.787,,2026-02-23T09:00:00,7384,SERVICIO DE SALUD ARAUCANIA HOSPITAL DE TRAIGUEN,61.602.226-1,3080,Hospital Traiguén,HOSPITALES Y CLINICAS,21 de Mayo 751,,,CL,felipe hurtado belmar,,,,27693,EDENRED CHILE SOCIEDAD ANONIMA,"RESTAURANTES| OTROS TIPOS DE INTERMEDIACION MONETARIA N.C.P.| SOCIEDADES DE INVERSION Y RENTISTAS DE CAPITALES MOBILIARIOS EN GENERA| COMPRA, VENTA Y ALQUILER (EXCEPTO AMOBLADOS) DE INMUEBLES PROPIOS O AR| OTRAS ACTIVIDADES EMPRESARIALES N.C.P.",27623,EDENRED CHILE S.A.,96.781.350-8,"Avenida Andres Bello # 2687, piso 13.",,,CL,,Contacto,,,1,"[{'Correlativo': 1, 'CodigoCategoria': 0, 'Categoria': '', 'CodigoProducto': 0, 'Producto': 'ALIMENTACIÓN -  ', 'EspecificacionComprador': '(1964920) ALIMENTACIÓN -  ', 'EspecificacionProveedor': '(1964920) ALIMENTACIÓN -   ; Región Metropolitana de Santiago; Santiago; Direccion no aplica a productos virtuales; DESCUENTO 5,0%', 'Cantidad': 1.0, 'Unidad': None, 'Moneda': 'CLP', 'PrecioNeto': 1080000.0, 'TotalCargos': 0.0, 'TotalDescuentos': 0.0, 'TotalImpuestos': 0.0, 'Total': 1080000.0}]",ALIMENTACION,2026-02-28T02:57:47.004101,,,,,,,,,,,,,,,,
1382-187-SE26,"RC 186, RECARGA TARJETAS ALIMENTACION DESDE 1175-209-",6,27693,27022026,"RC 186, RECARGA TARJETAS ALIMENTACION DESDE 1175-209-",6,Aceptada,,"RECARGAS DE TARJETAS DE ALIMENTACIÓN FUNCIONARIOS MES MARZO 2026 DESDE LICITACIÓN 1175-209-LR24. 
MONTO A CARGAR: $ $18.355.500.- ",8,SE,CLP,4,Aceptada,1,4.767676767676767,99,748102.0,0.0,15424790.0,19.0,2788571.0,17465259.0,,CL,7,2,2026-02-27T11:25:32.963,2026-02-27T11:59:17.39,2026-02-27T13:54:03.61,,2026-02-27T11:33:00,7133,Consultorio Miraflores,70.744.700-1,2378,Consultorio Miraflores,HOSPITALES Y CLINICAS,Miraflores 1369,Temuco,Región de la Araucanía ,CL,Juan Mariano,,,,27693,EDENRED CHILE SOCIEDAD ANONIMA,RESTAURANTES| OTROS TIPOS DE INTERMEDIACION MONETA,27623,EDENRED CHILE S.A.,96.781.350-8,"Avenida Andres Bello # 2687, piso 13.",Las Condes,Región Metropolitana de Santiago,CL,YASMIN GUERRA,ADMINISTRATIVA MERCADO PUBLICO,,,1,"[{'Correlativo': 1, 'CodigoCategoria': 85101700, 'Categoria': 'Salud, servicios sanitarios y alimentación / Servicios para el cuidado de la salud de las personas / Servicios gerenciales y administrativos para el sector salud', 'CodigoProducto': 85101705, 'Producto': 'Administración de salud pública', 'EspecificacionComprador': 'RECARGAS DE TARJETAS DE ALIMENTACIÓN FUNCIONARIOS MES MARZO 2026 DESDE LICITACIÓN 1175-209-LR24. MONTO A CARGAR $ $18.355.500.- \r\nDESCUENTO ASOCIADO DE 4,85%', 'EspecificacionProveedor': 'RECARGAS DE TARJETAS DE ALIMENTACIÓN FUNCIONARIOS MES MARZO 2026 DESDE LICITACIÓN 1175-209-LR24. MONTO A CARGAR $ $18.355.500.- \r\nDESCUENTO ASOCIADO DE 4,85%', 'Cantidad': 1.0, 'Unidad': None, 'Moneda': 'CLP', 'PrecioNeto': 15424790.0, 'TotalCargos': 0.0, 'TotalDescuentos': 0.0, 'TotalImpuestos': 0.0, 'Total': 15424790.0}]",ALIMENTACION,2026-02-28T02:57:47.004101,,,,,,,,,,,,,,,,
1079694-46-CM26,"RECARGA DE TARJETAS DE ALIMENTACIÓN FISCAL DE LA ZONA DE CARABINEROS DE LOS RÍOS, CORRESPONDIENTE AL MES DE FEBRERO DEL 2026.",12,27693,27022026,"RECARGA DE TARJETAS DE ALIMENTACIÓN FISCAL DE LA ZONA DE CARABINEROS DE LOS RÍOS, CORRESPONDIENTE AL MES DE FEBRERO DEL 2026.",12,Recepción Conforme,,Orden de Compra codigo: 1079694-46-CM26 dirigida a EDENRED CHILE SOCIEDAD ANONIMA,9,CM,CLP,7,Recepción Conforme,1,4.767676767676767,99,1162059.0,0.0,23241176.0,19.0,4195032.0,26274149.0,"C.R.N°69_FF/2026.     ÍTEM:22.01.001.,02.,04.   FI:00001878.",CL,12,2,2026-02-17T16:38:26.15,2026-02-17T16:47:58.97,2026-02-18T09:15:29.923,,2026-02-27T11:41:00,113812,DIRECCION DE LOGISTICA DE CARABINEROS,60.505.523-0,1079694,SECCIÓN COMPRAS ZONA DE CARABINEROS DE LOS RIOS,COMPRAS XIV ZONA LOS RÍOS,"BEAUCHEF N° 1025, VALDIVIA XIV",Valdivia,Región de Los Ríos,CL,Juan Pablo Herrera Uherek,,,,27693,EDENRED CHILE SOCIEDAD ANONIMA,"RESTAURANTES| OTROS TIPOS DE INTERMEDIACION MONETARIA N.C.P.| SOCIEDADES DE INVERSION Y RENTISTAS DE CAPITALES MOBILIARIOS EN GENERA| COMPRA, VENTA Y ALQUILER (EXCEPTO AMOBLADOS) DE INMUEBLES PROPIOS O AR| OTRAS ACTIVIDADES EMPRESARIALES N.C.P.",27623,EDENRED CHILE S.A.,96.781.350-8,"Avenida Andres Bello # 2687, piso 13.",,,CL,,Contacto,,,1,"[{'Correlativo': 1, 'CodigoCategoria': 0, 'Categoria': '', 'CodigoProducto': 0, 'Producto': 'ALIMENTACIÓN -  ', 'EspecificacionComprador': '(1964920) ALIMENTACIÓN -  ', 'EspecificacionProveedor': '(1964920) ALIMENTACIÓN -   ; Región Metropolitana de Santiago; Santiago; Direccion no aplica a productos virtuales; DESCUENTO 5,0%', 'Cantidad': 1.0, 'Unidad': None, 'Moneda': 'CLP', 'PrecioNeto': 23241176.0, 'TotalCargos': 0.0, 'TotalDescuentos': 0.0, 'TotalImpuestos': 0.0, 'Total': 23241176.0}]",ALIMENTACION,2026-02-28T02:57:47.004101,,,,,,,,,,,,,,,,
1079969-231-CM24,BENEFICIO RECARGA TARJETA DE ALIMENTACIÓN MES DICIEMBRE POR UN VALOR TOTAL DE $897.500.- PARA LA PREFECTURA OS.11,12,27693,27022026,BENEFICIO RECARGA TARJETA DE ALIMENTACIÓN MES DICIEMBRE POR UN VALOR TOTAL DE $897.500.- PARA LA PREFECTURA OS.11,12,Recepción Conforme,,"RACIONES OPERATIVAS 	 $ 47.500 
RACIONES ADMINISTRATIVAS 	 $ 850.000 
",9,CM,CLP,7,Recepción Conforme,1,4.767676767676767,99,37710.0,0.0,754202.0,19.0,136133.0,852625.0,,CL,12,2,2024-12-20T09:15:41.057,2024-12-20T17:19:46.42,2024-12-23T10:55:54.417,,2024-12-20T15:37:00,113812,DIRECCION DE LOGISTICA DE CARABINEROS,61.944.800-6,1079969,SECCIÓN COMPRAS ZONA SEG PRIV CONTROL ARMAS Y EXPL,COMPRAS SECCIÓN SEG PRIV CONT ARMAS Y EXPLOSIVOS,PASEO HUERFANOS N° 540 SANTIAGO,,,CL,Nicol Priscila Paisil Marin,,,,27693,EDENRED CHILE SOCIEDAD ANONIMA,"RESTAURANTES| OTROS TIPOS DE INTERMEDIACION MONETARIA N.C.P.| SOCIEDADES DE INVERSION Y RENTISTAS DE CAPITALES MOBILIARIOS EN GENERA| COMPRA, VENTA Y ALQUILER (EXCEPTO AMOBLADOS) DE INMUEBLES PROPIOS O AR| OTRAS ACTIVIDADES EMPRESARIALES N.C.P.",27623,EDENRED CHILE S.A.,96.781.350-8,"Avenida Andres Bello # 2687, piso 13.",,,CL,,Contacto,,,1,"[{'Correlativo': 1, 'CodigoCategoria': 0, 'Categoria': '', 'CodigoProducto': 0, 'Producto': 'ALIMENTACIÓN -  ', 'EspecificacionComprador': '(1964920) ALIMENTACIÓN -  ', 'EspecificacionProveedor': '(1964920) ALIMENTACIÓN -   ; Región Metropolitana de Santiago; Santiago; Direccion no aplica a productos virtuales; DESCUENTO 5,0%', 'Cantidad': 1.0, 'Unidad': None, 'Moneda': 'CLP', 'PrecioNeto': 754202.0, 'TotalCargos': 0.0, 'TotalDescuentos': 0.0, 'TotalImpuestos': 0.0, 'Total': 754202.0}]",ALIMENTACION,2026-02-28T02:57:47.004101,,,,,,,,,,,,,,,,
1005498-24-CM26,Adquisición 69 tarjetas de vestuario y calzado para la CMF,6,27693,27022026,Adquisición 69 tarjetas de vestuario y calzado para la CMF,6,Aceptada,,Orden de Compra codigo: 1005498-24-CM26 dirigida a EDENRED CHILE SOCIEDAD ANONIMA,9,CM,CLP,4,Aceptada,1,4.767676767676767,99,6187504.0,0.0,51562537.0,0.0,0.0,45375033.0,213,CL,12,2,2026-02-25T10:39:31.533,2026-02-27T12:16:47.757,2026-02-27T14:14:25.003,,2026-02-25T10:58:00,7016,COMISION PARA EL MERCADO FINANCIERO,60.810.000-8,1005498,COMISION PARA EL MERCADO FINANCIERO,Organismo Fiscalizador,"Av. Lib. Bernardo O'higgins 1449, piso 2, torre II",Santiago Centro,Región Metropolitana de Santiago,CL,Nadia Castro Jara,,,,27693,EDENRED CHILE SOCIEDAD ANONIMA,"RESTAURANTES| OTROS TIPOS DE INTERMEDIACION MONETARIA N.C.P.| SOCIEDADES DE INVERSION Y RENTISTAS DE CAPITALES MOBILIARIOS EN GENERA| COMPRA, VENTA Y ALQUILER (EXCEPTO AMOBLADOS) DE INMUEBLES PROPIOS O AR| OTRAS ACTIVIDADES EMPRESARIALES N.C.P.",27623,EDENRED CHILE S.A.,96.781.350-8,"Avenida Andres Bello # 2687, piso 13.",,,CL,,Contacto,,,1,"[{'Correlativo': 1, 'CodigoCategoria': 0, 'Categoria': '', 'CodigoProducto': 0, 'Producto': 'VESTUARIO Y CALZADO -  ', 'EspecificacionComprador': '(1964922) VESTUARIO Y CALZADO -  ', 'EspecificacionProveedor': '(1964922) VESTUARIO Y CALZADO -   ; Región Metropolitana de Santiago; Santiago; Direccion no aplica a productos virtuales; DESCUENTO 12,0%', 'Cantidad': 1.0, 'Unidad': None, 'Moneda': 'CLP', 'PrecioNeto': 51562537.0, 'TotalCargos': 0.0, 'TotalDescuentos': 0.0, 'TotalImpuestos': 0.0, 'Total': 51562537.0}]",VESTUARIO_Y_CALZADO,2026-02-28T02:57:47.004101,,,,,,,,,,,,,,,,
1099899-51-CM26,ALIMENTACIÓN FUNCIONARIOS FEBRERO QUICALCURA Orden de Compra: 1099899-51-CM26,6,27693,27022026,ALIMENTACIÓN FUNCIONARIOS FEBRERO QUICALCURA Orden de Compra: 1099899-51-CM26,6,Aceptada,,"QUICALCURA, requiere la compra de Beneficio Alimentación mes de FEBRERO Orden de Compra codigo: 1099899-51-CM26 dirigida a EDENRED CHILE SOCIEDAD ANONIMA",9,CM,CLP,4,Aceptada,1,4.767676767676767,99,56521.0,0.0,1130420.0,19.0,204041.0,1277940.0,,CL,12,2,2026-02-26T17:18:27.66,2026-02-27T14:43:34.423,2026-02-27T14:51:23.79,,2026-02-27T12:00:00,1688788,CENTRO SALUD MENTAL COMUNITARIA LOS ANDES,62.000.630-0,1099899,BIENES Y SERVICIOS,HOSPITALES Y CLÍNICAS,O'HIGGINS N°470,Los Andes,Región de Valparaíso ,CL,Paulina Varas Rojas,,,,27693,EDENRED CHILE SOCIEDAD ANONIMA,"RESTAURANTES| OTROS TIPOS DE INTERMEDIACION MONETARIA N.C.P.| SOCIEDADES DE INVERSION Y RENTISTAS DE CAPITALES MOBILIARIOS EN GENERA| COMPRA, VENTA Y ALQUILER (EXCEPTO AMOBLADOS) DE INMUEBLES PROPIOS O AR| OTRAS ACTIVIDADES EMPRESARIALES N.C.P.",27623,EDENRED CHILE S.A.,96.781.350-8,"Avenida Andres Bello # 2687, piso 13.",,,CL,,Contacto,,,1,"[{'Correlativo': 1, 'CodigoCategoria': 0, 'Categoria': '', 'CodigoProducto': 0, 'Producto': 'ALIMENTACIÓN -  ', 'EspecificacionComprador': '(1964920) ALIMENTACIÓN -  ', 'EspecificacionProveedor': '(1964920) ALIMENTACIÓN -   ; Región Metropolitana de Santiago; Santiago; Direccion no aplica a productos virtuales; DESCUENTO 5,0%', 'Cantidad': 1.0, 'Unidad': None, 'Moneda': 'CLP', 'PrecioNeto': 1130420.0, 'TotalCargos': 0.0, 'TotalDescuentos': 0.0, 'TotalImpuestos': 0.0, 'Total': 1130420.0}]",ALIMENTACION,2026-02-28T02:57:47.004101,,,,,,,,,,,,,,,,
1078177-51-CM26,ADQUISICIÓN DE RECARGA DE ALIMENTACIÓN FISCAL MES ENERO P.M. ZONA,12,27693,27022026,ADQUISICIÓN DE RECARGA DE ALIMENTACIÓN FISCAL MES ENERO P.M. ZONA,12,Recepción Conforme,,"EL MONTO DE RECARGA CORRESPONDE A
 $ 3.336.000.-",9,CM,CLP,7,Recepción Conforme,1,4.767676767676767,99,140168.0,0.0,2803361.0,19.0,506007.0,3169200.0,FI00001195,CL,12,2,2026-02-13T10:01:24.017,2026-02-16T10:08:12.77,2026-02-16T13:54:05.253,,2026-02-16T09:32:00,113812,DIRECCION DE LOGISTICA DE CARABINEROS,60.505.522-2,1078177,SECCIÓN COMPRAS ZONA DE CARABINEROS ARAUCANIA,IX ZONA DE CARABINEROS ARAUCANÍA,CLARO SOLAR 1286 DPTO APOYO A LAS OPER. POL. ,Temuco,Región de la Araucanía ,CL,Ana María Sierra Lucero,,,,27693,EDENRED CHILE SOCIEDAD ANONIMA,"RESTAURANTES| OTROS TIPOS DE INTERMEDIACION MONETARIA N.C.P.| SOCIEDADES DE INVERSION Y RENTISTAS DE CAPITALES MOBILIARIOS EN GENERA| COMPRA, VENTA Y ALQUILER (EXCEPTO AMOBLADOS) DE INMUEBLES PROPIOS O AR| OTRAS ACTIVIDADES EMPRESARIALES N.C.P.",27623,EDENRED CHILE S.A.,96.781.350-8,"Avenida Andres Bello # 2687, piso 13.",,,CL,,Contacto,,,1,"[{'Correlativo': 1, 'CodigoCategoria': 0, 'Categoria': '', 'CodigoProducto': 0, 'Producto': 'ALIMENTACIÓN -  ', 'EspecificacionComprador': '(1964920) ALIMENTACIÓN -  ', 'EspecificacionProveedor': '(1964920) ALIMENTACIÓN -   ; Región Metropolitana de Santiago; Santiago; Direccion no aplica a productos virtuales; DESCUENTO 5,0%', 'Cantidad': 1.0, 'Unidad': None, 'Moneda': 'CLP', 'PrecioNeto': 2803361.0, 'TotalCargos': 0.0, 'TotalDescuentos': 0.0, 'TotalImpuestos': 0.0, 'Total': 2803361.0}]",ALIMENTACION,2026-02-28T02:57:47.004101,,,,,,,,,,,,,,,,
3355-56-CM26,TARJETAS DE ALIMENTACIÓN,6,27693,27022026,TARJETAS DE ALIMENTACIÓN,6,Aceptada,,"ADQUISICIÓN DE TARJETAS DE ALIMENTACIÓN PARA SER EMPLEADAS EN COMISIONES DE SERVICIO DEL DESTACAMENTO.
ORDEN SIGLE N° 333580
GIRO: DEFENSA
FACTURAR A NOMBRE DE : DESTACAMENTO DE MONTAÑA N° 17 LOS ANGELES",9,CM,CLP,4,Aceptada,1,4.767676767676767,99,83590.0,0.0,1671810.0,19.0,301762.0,1889981.0,22-01-001,CL,12,2,2026-02-19T14:33:50.823,2026-02-26T17:15:19.273,2026-02-27T12:13:38.03,,2026-02-26T16:48:00,111870,DIVISION LOGISTICA DEL EJERCITO,61.101.076-1,4276,Destacamento Montaña Nº 17 Los Ángeles-DESMÑA N°17,,Avenida Ercilla S/N,Los Angeles,Región del Biobío ,CL,Juan Carriel Riquelme,,,,27693,EDENRED CHILE SOCIEDAD ANONIMA,"RESTAURANTES| OTROS TIPOS DE INTERMEDIACION MONETARIA N.C.P.| SOCIEDADES DE INVERSION Y RENTISTAS DE CAPITALES MOBILIARIOS EN GENERA| COMPRA, VENTA Y ALQUILER (EXCEPTO AMOBLADOS) DE INMUEBLES PROPIOS O AR| OTRAS ACTIVIDADES EMPRESARIALES N.C.P.",27623,EDENRED CHILE S.A.,96.781.350-8,"Avenida Andres Bello # 2687, piso 13.",,,CL,,Contacto,,,1,"[{'Correlativo': 1, 'CodigoCategoria': 0, 'Categoria': '', 'CodigoProducto': 0, 'Producto': 'ALIMENTACIÓN -  ', 'EspecificacionComprador': '(1964920) ALIMENTACIÓN -  ', 'EspecificacionProveedor': '(1964920) ALIMENTACIÓN -   ; Región Metropolitana de Santiago; Santiago; Direccion no aplica a productos virtuales; DESCUENTO 5,0%', 'Cantidad': 1.0, 'Unidad': None, 'Moneda': 'CLP', 'PrecioNeto': 1671810.0, 'TotalCargos': 0.0, 'TotalDescuentos': 0.0, 'TotalImpuestos': 0.0, 'Total': 1671810.0}]",ALIMENTACION,2026-02-28T02:57:47.004101,,,,,,,,,,,,,,,,
1057499-681-SE25,RECARGA TARJETA DE ALIMENTACIÓN GRAN COMPRA 79326,12,27693,27022026,RECARGA TARJETA DE ALIMENTACIÓN GRAN COMPRA 79326,12,Recepción Conforme,,RECARGA TARJETA DE ALIMENTACIÓN GRAN COMPRA 79326,8,SE,CLP,7,Recepción Conforme,1,4.767676767676767,99,67226891.0,0.0,1344537815.0,19.0,242689076.0,1520000000.0,7,CL,7,2,2025-12-10T10:28:43.18,2026-01-14T14:44:33.277,2026-01-14T17:36:53.15,,2026-01-16T08:37:00,7006,SERVICIO DE SALUD SUR UNIDAD HOSPITALARI,61.608.108-K,1057499,Bienes y Servicios,Salud,Avenida Santa Rosa # 3453,San Miguel,Región Metropolitana de Santiago,CL,Gabriela Daza,Coordinadora Gestión de Contratos,,,27693,EDENRED CHILE SOCIEDAD ANONIMA,RESTAURANTES| OTROS TIPOS DE INTERMEDIACION MONETA,27623,EDENRED CHILE S.A.,96.781.350-8,"Avenida Andres Bello # 2687, piso 13.",Las Condes,Región Metropolitana de Santiago,CL,YASMIN GUERRA,ADMINISTRATIVA MERCADO PUBLICO,,,1,"[{'Correlativo': 1, 'CodigoCategoria': 93131600, 'Categoria': 'Organizaciones y consultorías políticas, demográficas, económicas, sociales y de administración pública / Ayuda y asistencia humanitaria / Política, planificación y programas de alimentación y nutrición', 'CodigoProducto': 93131608, 'Producto': 'Servicios de suministro de alimentos', 'EspecificacionComprador': 'Recarga de tarjeta de alimentación por 36 meses ', 'EspecificacionProveedor': 'Recarga de tarjeta de alimentación por 36 meses', 'Cantidad': 1.0, 'Unidad': None, 'Moneda': 'CLP', 'PrecioNeto': 1344537815.0, 'TotalCargos': 0.0, 'TotalDescuentos': 0.0, 'TotalImpuestos': 0.0, 'Total': 1344537815.0}]",ALIMENTACION,2026-02-28T02:57:47.004101,,,,,,,,,,,,,,,,
1079639-95-CM26,"ALIMENTACION FISCAL MES DE FEBRERO, FALTANTE COLACIONES",12,27693,27022026,"ALIMENTACION FISCAL MES DE FEBRERO, FALTANTE COLACIONES",12,Recepción Conforme,,Orden de Compra codigo: 1079639-95-CM26 dirigida a EDENRED CHILE SOCIEDAD ANONIMA,9,CM,CLP,7,Recepción Conforme,1,4.767676767676767,99,193613.0,0.0,3872269.0,19.0,698945.0,4377600.0,4377600,CL,12,2,2026-02-25T10:42:21.447,2026-02-25T10:45:33.677,2026-02-25T11:54:38.283,,2026-02-25T10:44:00,113812,DIRECCION DE LOGISTICA DE CARABINEROS,61.979.300-5,1079639,SECCIÓN COMPRAS ZONA DE CARABINEROS LOS LAGOS,COMPRAS X ZONA LOS LAGOS,"MIRAMAR N° 1500, X REGIÓN ,CIUDAD PUERTO MONTT",Puerto Montt,Región de los Lagos ,CL,Pablo Jara Chacur,,,,27693,EDENRED CHILE SOCIEDAD ANONIMA,"RESTAURANTES| OTROS TIPOS DE INTERMEDIACION MONETARIA N.C.P.| SOCIEDADES DE INVERSION Y RENTISTAS DE CAPITALES MOBILIARIOS EN GENERA| COMPRA, VENTA Y ALQUILER (EXCEPTO AMOBLADOS) DE INMUEBLES PROPIOS O AR| OTRAS ACTIVIDADES EMPRESARIALES N.C.P.",27623,EDENRED CHILE S.A.,96.781.350-8,"Avenida Andres Bello # 2687, piso 13.",,,CL,,Contacto,,,1,"[{'Correlativo': 1, 'CodigoCategoria': 0, 'Categoria': '', 'CodigoProducto': 0, 'Producto': 'ALIMENTACIÓN -  ', 'EspecificacionComprador': '(1964920) ALIMENTACIÓN -  ', 'EspecificacionProveedor': '(1964920) ALIMENTACIÓN -   ; Región Metropolitana de Santiago; Santiago; Direccion no aplica a productos virtuales; DESCUENTO 5,0%', 'Cantidad': 1.0, 'Unidad': None, 'Moneda': 'CLP', 'PrecioNeto': 3872269.0, 'TotalCargos': 0.0, 'TotalDescuentos': 0.0, 'TotalImpuestos': 0.0, 'Total': 3872269.0}]",ALIMENTACION,2026-02-28T02:57:47.004101,,,,,,,,,,,,,,,,
